                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.72213,                 1.1446,                0.70409,                 1.0032,                0.90737,                0.88047,                0.94046,                0.77903,                0.90642,                0.87925,                0.93784,                0.76544,                   0.73,                 1.1769,                0.59938,                 1.0134,              0.0005939,              0.0005939,              0.0005939
                     25,                0.71518,                  1.142,                0.69947,                0.99383,                0.90351,                0.88191,                0.94268,                0.79019,                0.91136,                0.88268,                0.94689,                0.77008,                0.69969,                 1.1707,                0.57703,                 1.0023,             0.00058629,             0.00058629,             0.00058629
                     26,                 0.7193,                 1.1471,                 0.7245,                 1.0043,                0.90765,                0.88563,                0.93932,                0.78481,                0.91407,                0.88617,                0.94121,                0.77166,                0.69651,                 1.1205,                0.58327,                 1.0005,             0.00057867,             0.00057867,             0.00057867
                     27,                0.70646,                 1.1164,                0.68595,                0.99198,                0.94138,                0.84001,                0.93448,                0.77576,                0.93271,                0.86012,                0.94056,                0.75961,                0.73459,                 1.1971,                0.59261,                 1.0246,             0.00057106,             0.00057106,             0.00057106
                     28,                0.71068,                  1.112,                0.67994,                0.99679,                0.88682,                0.91775,                 0.9404,                0.77742,                0.88898,                0.91991,                0.94062,                0.76717,                0.71602,                 1.1779,                 0.5697,                 1.0028,             0.00056345,             0.00056345,             0.00056345
                     29,                0.70117,                 1.1096,                0.67378,                0.98926,                0.91648,                0.89147,                0.94105,                0.79588,                  0.924,                0.89569,                0.94002,                0.77875,                0.69226,                 1.1108,                0.54944,                0.98766,             0.00055583,             0.00055583,             0.00055583
                     30,                0.70019,                  1.118,                0.68073,                0.99393,                0.89183,                0.88637,                 0.9439,                0.78704,                0.89198,                0.88875,                0.94432,                0.77437,                 0.7071,                 1.1028,                0.55883,                0.99231,             0.00054822,             0.00054822,             0.00054822
                     31,                0.69112,                 1.0895,                0.65981,                0.98322,                0.90301,                0.89126,                0.94687,                0.79098,                0.89894,                0.90305,                0.95031,                0.77882,                 0.6922,                  1.091,                0.54194,                0.98969,             0.00054061,             0.00054061,             0.00054061
                     32,                 0.6888,                 1.0994,                0.65884,                0.98559,                0.90021,                0.90227,                0.94876,                0.79743,                0.90154,                0.90358,                 0.9507,                0.79327,                0.69804,                 1.0839,                0.55487,                0.99629,             0.00053299,             0.00053299,             0.00053299
                     33,                0.68186,                 1.0786,                0.65088,                0.98755,                 0.9053,                 0.8873,                0.94038,                0.78059,                0.90773,                0.88919,                0.94172,                0.77527,                0.71335,                 1.1168,                0.56849,                 1.0011,             0.00052538,             0.00052538,             0.00052538
                     34,                0.68243,                 1.0618,                0.63428,                0.97717,                0.93587,                0.87518,                0.94282,                0.79357,                0.94044,                 0.8785,                0.94086,                0.78479,                0.68354,                 1.1255,                0.53848,                 0.9882,             0.00051777,             0.00051777,             0.00051777
                     35,                0.67438,                 1.0642,                0.62511,                0.96924,                0.91518,                0.90491,                0.94745,                0.79067,                0.91684,                0.90511,                0.94831,                0.78975,                0.69059,                 1.0498,                0.53737,                0.99264,             0.00051015,             0.00051015,             0.00051015
                     36,                0.67127,                 1.0585,                0.61801,                0.97874,                0.91318,                0.90606,                0.95065,                0.79545,                0.91903,                0.91343,                0.95271,                 0.7996,                0.69138,                 1.0697,                0.53629,                0.98524,             0.00050254,             0.00050254,             0.00050254
                     37,                0.67534,                 1.0554,                0.61962,                 0.9769,                0.92348,                0.87689,                0.94085,                 0.7894,                0.92463,                0.87783,                0.94022,                 0.7769,                0.67705,                 1.1057,                0.55904,                0.98597,             0.00049493,             0.00049493,             0.00049493
                     38,                0.65877,                 1.0427,                0.60855,                0.97061,                0.89707,                 0.9025,                0.94791,                0.79685,                0.90183,                 0.9042,                0.94473,                0.78339,                0.68235,                 1.1123,                0.52894,                0.98414,             0.00048732,             0.00048732,             0.00048732
                     39,                0.65978,                 1.0368,                0.60476,                0.96784,                0.88319,                0.91595,                0.94563,                0.79534,                0.88586,                0.91951,                0.94603,                0.78255,                0.67801,                 1.0903,                0.51984,                0.97868,              0.0004797,              0.0004797,              0.0004797
                     40,                0.65482,                 1.0126,                0.59393,                0.96827,                0.90473,                0.90394,                0.94612,                0.80136,                0.91584,                0.90164,                0.94702,                0.78965,                0.66586,                 1.0599,                 0.5189,                0.97537,             0.00047209,             0.00047209,             0.00047209
                     41,                   0.65,                  1.035,                0.59695,                0.96627,                0.93989,                0.88866,                0.95115,                0.80273,                0.93238,                0.88927,                0.94805,                0.79506,                 0.6679,                 1.0734,                0.49973,                 0.9787,             0.00046448,             0.00046448,             0.00046448
                     42,                0.65333,                 1.0149,                0.59621,                0.96757,                0.88222,                0.92138,                0.94928,                0.81105,                0.88317,                0.92458,                0.94894,                 0.7903,                0.65184,                 1.0677,                0.50071,                0.96943,             0.00045686,             0.00045686,             0.00045686
                     43,                0.64478,                 1.0174,                0.58743,                0.96857,                 0.9186,                0.90042,                0.95133,                0.80497,                0.92095,                0.90219,                0.95133,                0.79246,                0.66708,                  1.059,                0.50867,                0.97676,             0.00044925,             0.00044925,             0.00044925
                     44,                0.63946,                 1.0108,                0.58335,                0.96259,                0.90867,                0.88561,                0.94611,                0.80583,                0.90857,                0.88464,                0.94491,                0.80026,                0.66713,                 1.0388,                 0.5421,                0.97684,             0.00044164,             0.00044164,             0.00044164
                     45,                   0.64,                 1.0114,                0.56744,                0.95855,                0.92958,                0.88512,                0.95134,                0.81687,                0.93506,                0.88995,                0.95127,                0.80699,                0.64554,                 1.0158,                0.51312,                0.96193,             0.00043402,             0.00043402,             0.00043402
                     46,                0.63932,                0.98362,                0.56311,                0.96296,                0.91106,                0.88998,                0.95275,                 0.8131,                0.91039,                0.88941,                0.95145,                0.79865,                0.66526,                 1.0364,                0.50398,                0.96862,             0.00042641,             0.00042641,             0.00042641
                     47,                0.63661,                0.99533,                0.56888,                0.96062,                0.90773,                0.90564,                0.94666,                 0.8109,                0.90936,                0.90109,                0.94488,                 0.7948,                0.63923,                 1.0561,                0.50001,                0.95937,              0.0004188,              0.0004188,              0.0004188
                     48,                0.64004,                0.99529,                0.57321,                0.96156,                  0.924,                0.90222,                0.95278,                0.81351,                0.92601,                0.90422,                0.95255,                0.80256,                0.64546,                 1.0128,                0.48852,                 0.9548,             0.00041118,             0.00041118,             0.00041118
                     49,                0.63237,                0.98207,                 0.5604,                0.95729,                0.92909,                0.91071,                0.95698,                0.81939,                0.93341,                0.91529,                0.95989,                 0.8078,                 0.6556,                 1.0079,                0.48537,                0.96974,             0.00040357,             0.00040357,             0.00040357
                     50,                0.62414,                 0.9768,                0.56067,                0.95135,                0.91293,                0.91895,                 0.9526,                 0.8177,                0.91407,                0.92217,                0.95232,                0.80848,                0.64636,                 1.0188,                0.49102,                0.96232,             0.00039596,             0.00039596,             0.00039596
                     51,                0.62957,                0.97675,                0.55203,                0.95328,                0.91292,                0.92105,                0.96069,                0.83255,                0.91368,                0.92297,                0.96132,                0.81353,                0.62595,                 1.0125,                0.46349,                0.94827,             0.00038835,             0.00038835,             0.00038835
                     52,                0.62678,                0.96702,                0.54466,                0.95363,                0.90481,                0.92336,                0.95283,                0.81845,                0.90857,                0.92683,                0.95411,                  0.805,                0.63503,                 1.0049,                0.47906,                0.95616,             0.00038073,             0.00038073,             0.00038073
                     53,                0.61905,                0.97345,                0.53839,                0.95068,                0.92071,                0.90862,                0.94954,                0.81449,                 0.9223,                0.91021,                0.95155,                0.81099,                0.63973,                0.99692,                0.49494,                 0.9593,             0.00037312,             0.00037312,             0.00037312
                     54,                0.62066,                0.95529,                0.54159,                0.95372,                0.92306,                0.90759,                0.95747,                0.82499,                0.92387,                0.91094,                 0.9576,                 0.8124,                0.62125,                 1.0104,                0.46315,                0.95645,             0.00036551,             0.00036551,             0.00036551
                     55,                0.61254,                0.94007,                0.53957,                0.95229,                0.90892,                 0.9232,                 0.9608,                0.82716,                0.91321,                0.92311,                0.96283,                0.81065,                0.63561,                 1.0021,                0.47883,                0.95143,             0.00035789,             0.00035789,             0.00035789
                     56,                0.60981,                0.93673,                0.52695,                0.94601,                0.90499,                0.92337,                0.95658,                0.82102,                0.90083,                0.92736,                 0.9533,                0.80975,                0.64224,                0.99483,                0.47549,                0.95746,             0.00035028,             0.00035028,             0.00035028
                     57,                0.61544,                0.94474,                0.52753,                0.94965,                0.91803,                0.92163,                0.95766,                0.82818,                0.91944,                0.92295,                0.95788,                0.81595,                0.62297,                0.98591,                0.45726,                0.94841,             0.00034267,             0.00034267,             0.00034267
                     58,                0.60096,                0.93329,                0.52329,                0.94287,                  0.937,                0.91417,                0.95985,                0.83445,                0.93935,                0.91412,                0.96072,                0.82424,                0.61608,                0.97732,                0.45713,                0.94648,             0.00033505,             0.00033505,             0.00033505
                     59,                0.59252,                0.93227,                0.51316,                0.93944,                0.92113,                0.91774,                0.95655,                0.82358,                 0.9228,                0.91926,                0.95534,                  0.814,                0.62034,                 1.0061,                0.46308,                0.94938,             0.00032744,             0.00032744,             0.00032744
                     60,                0.60297,                0.92871,                0.51231,                0.94692,                0.93417,                0.91929,                0.96019,                0.83176,                0.93605,                0.92193,                0.96035,                0.81926,                0.63563,                 1.0095,                0.45728,                 0.9612,             0.00031983,             0.00031983,             0.00031983
                     61,                0.60589,                0.93255,                0.51411,                0.94255,                0.92963,                0.93017,                0.96151,                0.83127,                0.93081,                0.93139,                0.95881,                 0.8206,                0.62538,                0.98472,                0.46157,                0.95292,             0.00031221,             0.00031221,             0.00031221
                     62,                0.59874,                0.93169,                0.51564,                0.94024,                0.93004,                 0.9161,                 0.9586,                0.83369,                  0.932,                0.91906,                 0.9583,                0.82203,                0.62659,                0.99623,                0.45959,                0.95237,              0.0003046,              0.0003046,              0.0003046
